step,type,loss,cumulative_time_ms,step_avg_ms
848,train,,592160,698.30
849,train,,592860,698.30
850,train,,593547,698.29
851,train,,594209,698.25
852,train,,594855,698.19
853,train,,595549,698.18
854,train,,596236,698.17
855,train,,596888,698.11
856,train,,597522,698.04
857,train,,598175,697.99
858,train,,598837,697.95
859,train,,599540,697.95
860,train,,600182,697.89
861,train,,600851,697.85
862,train,,601572,697.88
863,train,,602284,697.90
864,train,,602990,697.91
865,train,,603733,697.96
866,train,,604374,697.89
867,train,,605065,697.88
868,train,,605881,698.02
869,train,,606539,697.97
870,train,,607220,697.95
871,train,,607842,697.87
872,train,,608590,697.92
873,train,,609358,698.00
874,train,,610051,698.00
875,train,,610754,698.00
876,train,,611512,698.07
877,train,,612254,698.12
878,train,,612995,698.17
879,train,,613747,698.23
880,train,,614440,698.23
881,train,,615115,698.20
882,train,,615856,698.25
883,train,,616522,698.21
884,train,,617212,698.20
885,train,,617980,698.28
886,train,,618669,698.27
887,train,,619285,698.18
888,train,,620050,698.26
889,train,,620697,698.20
890,train,,621515,698.33
891,train,,622373,698.51
892,train,,623163,698.61
893,train,,623881,698.63
894,train,,624622,698.68
895,train,,625381,698.75
896,train,,626108,698.78
897,train,,626797,698.77
898,train,,627616,698.90
899,train,,628363,698.96
900,train,,629018,698.91
900,val,4.0708,629018,698.91
901,train,,629778,698.98
902,train,,630461,698.96
903,train,,631107,698.90
904,train,,631831,698.93
905,train,,632631,699.04
906,train,,633419,699.14
907,train,,634059,699.07
908,train,,634805,699.12
909,train,,635563,699.19
910,train,,636250,699.18
911,train,,636954,699.18
912,train,,637648,699.18
913,train,,638358,699.19
914,train,,639014,699.14
915,train,,639722,699.15
916,train,,640734,699.49
917,train,,641406,699.46
918,train,,642034,699.38
919,train,,642777,699.43
920,train,,643482,699.44
921,train,,644217,699.48
922,train,,644853,699.41
923,train,,645552,699.41
924,train,,646249,699.40
925,train,,646991,699.45
926,train,,647671,699.43
927,train,,648391,699.45
928,train,,649161,699.53
929,train,,649830,699.49
930,train,,650470,699.43
931,train,,651082,699.34
932,train,,652042,699.62
933,train,,652873,699.76
934,train,,653519,699.70
935,train,,654158,699.63
936,train,,654791,699.56
937,train,,655558,699.64
938,train,,656213,699.59
939,train,,656881,699.55
940,train,,657531,699.50
941,train,,658211,699.48
942,train,,658915,699.49
943,train,,659652,699.52
944,train,,660271,699.44
945,train,,661005,699.48
946,train,,661639,699.41
947,train,,662299,699.36
948,train,,662961,699.33
949,train,,663620,699.28
950,train,,664473,699.45
951,train,,665166,699.44
952,train,,665896,699.47
953,train,,666628,699.50
954,train,,667277,699.45
955,train,,668040,699.52
956,train,,668725,699.50
957,train,,669530,699.61
958,train,,670150,699.53
959,train,,670817,699.50
960,train,,671428,699.40
961,train,,672061,699.33
962,train,,672800,699.38
963,train,,673445,699.32
964,train,,674183,699.36
